Ficheiro,Num. Instalacoes,Num. Clientes,S.Otima,S.Obtida,%,TC
Kcapmo1.txt,100,100,,1556.997,,0.445
Kcapmo2.txt,100,100,,1746.635,,0.004
Kcapmo3.txt,100,100,,1669.543,,0.002
Kcapmo4.txt,100,100,,1609.027,,0.003
Kcapmo5.txt,100,100,,1527.96,,0.004
Kcapmp1.txt,200,200,,3382.471,,0.013
Kcapmp2.txt,200,200,,3270.906,,0.017
Kcapmp3.txt,200,200,,3175.683,,0.013
Kcapmp4.txt,200,200,,3359.466,,0.015
Kcapmp5.txt,200,200,,3062.346,,0.014
Kcapmq1.txt,300,300,,4832.17,,0.029
Kcapmq2.txt,300,300,,4723.5,,0.032
Kcapmq3.txt,300,300,,4911.787,,0.029
Kcapmq4.txt,300,300,,5161.44,,0.03
Kcapmq5.txt,300,300,,5086.521,,0.029
Kcapmr1.txt,500,500,,3763.061,,0.105
Kcapmr2.txt,500,500,,3787.648,,0.093
Kcapmr3.txt,500,500,,3724.08,,0.102
Kcapmr4.txt,500,500,,3788.229,,0.108
Kcapmr5.txt,500,500,,3784.452,,0.111
cap101.txt,25,50,,816969.575,,0.022
cap102.txt,25,50,,882917.95,,0.025
cap103.txt,25,50,,939570.638,,0.025
cap104.txt,25,50,,970361.838,,0.029
cap131.txt,50,50,,821387.675,,0.034
cap132.txt,50,50,,885483.75,,0.018
cap133.txt,50,50,,921916.475,,0.024
cap134.txt,50,50,,970361.838,,0.019
cap71.txt,16,50,,965952.075,,0.021
cap72.txt,16,50,,1011722.85,,0.023
cap73.txt,16,50,,1035149.625,,0.021
cap74.txt,16,50,,1057649.625,,0.023
capa.txt,100,1000,,39750861.7,,0.055
capb.txt,100,1000,,33454991.476,,0.057
capc.txt,100,1000,,36863151.061,,0.107
