Ficheiro,Num. Instalacoes,Num. Clientes,S.Otima,S.Obtida,%,TC
Kcapmo1.txt,100,100,,903.527,,0.003
Kcapmo2.txt,100,100,,1423.195,,0.002
Kcapmo3.txt,100,100,,1580.279,,0.003
Kcapmo4.txt,100,100,,1554.963,,0.004
Kcapmo5.txt,100,100,,1332.161,,0.004
Kcapmp1.txt,200,200,,4778.144,,0.012
Kcapmp2.txt,200,200,,5485.559,,0.011
Kcapmp3.txt,200,200,,6714.604,,0.01
Kcapmp4.txt,200,200,,6012.691,,0.011
Kcapmp5.txt,200,200,,5408.293,,0.011
Kcapmq1.txt,300,300,,12427.147,,0.028
Kcapmq2.txt,300,300,,12201.287,,0.023
Kcapmq3.txt,300,300,,12017.51,,0.024
Kcapmq4.txt,300,300,,12906.951,,0.024
Kcapmq5.txt,300,300,,12767.074,,0.023
Kcapmr1.txt,500,500,,14523.582,,0.067
Kcapmr2.txt,500,500,,12922.955,,0.065
Kcapmr3.txt,500,500,,12250.847,,0.065
Kcapmr4.txt,500,500,,15280.88,,0.067
Kcapmr5.txt,500,500,,13129.103,,0.068
cap101.txt,25,50,,15000.0,,0.001
cap102.txt,25,50,,25000.0,,0.0
cap103.txt,25,50,,35000.0,,0.001
cap104.txt,25,50,,50000.0,,0.0
cap131.txt,50,50,,30000.0,,0.001
cap132.txt,50,50,,50000.0,,0.001
cap133.txt,50,50,,70000.0,,0.001
cap134.txt,50,50,,100000.0,,0.001
cap71.txt,16,50,,7500.0,,0.0
cap72.txt,16,50,,0.0,,0.001
cap73.txt,16,50,,17500.0,,0.0
cap74.txt,16,50,,25000.0,,0.001
capa.txt,100,1000,,14623893.0,,0.004
capb.txt,100,1000,,5682985.0,,0.004
capc.txt,100,1000,,4366781.0,,0.003
