Ficheiro,Num. Instalacoes,Num. Clientes,S.Otima,S.Obtida,%,TC
Kcapmo1.txt,100,100,,1173.864,,0.839
Kcapmo2.txt,100,100,,1277.6,,0.004
Kcapmo3.txt,100,100,,1286.369,,0.004
Kcapmo4.txt,100,100,,1229.452,,0.005
Kcapmo5.txt,100,100,,1161.167,,0.004
Kcapmp1.txt,200,200,,2469.935,,0.046
Kcapmp2.txt,200,200,,2439.564,,0.071
Kcapmp3.txt,200,200,,2510.04,,0.053
Kcapmp4.txt,200,200,,2693.316,,0.028
Kcapmp5.txt,200,200,,2290.164,,0.033
Kcapmq1.txt,300,300,,3613.191,,0.067
Kcapmq2.txt,300,300,,3543.662,,0.052
Kcapmq3.txt,300,300,,3498.521,,0.081
Kcapmq4.txt,300,300,,3751.56,,0.069
Kcapmq5.txt,300,300,,3751.326,,0.063
Kcapmr1.txt,500,500,,2378.954,,0.245
Kcapmr2.txt,500,500,,2384.981,,0.231
Kcapmr3.txt,500,500,,2218.67,,0.277
Kcapmr4.txt,500,500,,2457.078,,0.231
Kcapmr5.txt,500,500,,2344.353,,0.251
cap101.txt,25,50,,802191.275,,0.001
cap102.txt,25,50,,855971.75,,0.002
cap103.txt,25,50,,894008.137,,0.003
cap104.txt,25,50,,934586.975,,0.001
cap131.txt,50,50,,802797.588,,0.003
cap132.txt,50,50,,855328.675,,0.002
cap133.txt,50,50,,895642.512,,0.002
cap134.txt,50,50,,934586.975,,0.002
cap71.txt,16,50,,934199.137,,0.001
cap72.txt,16,50,,977799.4,,0.0
cap73.txt,16,50,,1012476.975,,0.001
cap74.txt,16,50,,1034976.975,,0.0
capa.txt,100,1000,,17876593.315,,0.058
capb.txt,100,1000,,13070745.086,,0.071
capc.txt,100,1000,,11718205.391,,0.079
