Ficheiro,Num. Instalacoes,Num. Clientes,S.Otima,S.Obtida,%,TC
Kcapmo1.txt,100,100,,1173.864,,4.239
Kcapmo2.txt,100,100,,1277.6,,0.102
Kcapmo3.txt,100,100,,1286.369,,0.099
Kcapmo4.txt,100,100,,1229.452,,0.103
Kcapmo5.txt,100,100,,1161.167,,0.096
Kcapmp1.txt,200,200,,2469.935,,0.386
Kcapmp2.txt,200,200,,2439.564,,0.39
Kcapmp3.txt,200,200,,2510.04,,0.377
Kcapmp4.txt,200,200,,2693.316,,0.357
Kcapmp5.txt,200,200,,2290.164,,0.369
Kcapmq1.txt,300,300,,3613.191,,1.015
Kcapmq2.txt,300,300,,3543.662,,0.923
Kcapmq3.txt,300,300,,3498.521,,0.976
Kcapmq4.txt,300,300,,3751.56,,1.024
Kcapmq5.txt,300,300,,3751.326,,0.993
Kcapmr1.txt,500,500,,2378.954,,4.077
Kcapmr2.txt,500,500,,2384.981,,3.711
Kcapmr3.txt,500,500,,2218.67,,3.979
Kcapmr4.txt,500,500,,2457.078,,3.789
Kcapmr5.txt,500,500,,2344.353,,3.905
cap101.txt,25,50,,802191.275,,0.009
cap102.txt,25,50,,855971.75,,0.011
cap103.txt,25,50,,894008.137,,0.009
cap104.txt,25,50,,934586.975,,0.007
cap131.txt,50,50,,802797.588,,0.025
cap132.txt,50,50,,855328.675,,0.024
cap133.txt,50,50,,895642.512,,0.024
cap134.txt,50,50,,934586.975,,0.021
cap71.txt,16,50,,934199.137,,0.005
cap72.txt,16,50,,977799.4,,0.007
cap73.txt,16,50,,1012476.975,,0.006
cap74.txt,16,50,,1034976.975,,0.006
capa.txt,100,1000,,17876593.315,,0.493
capb.txt,100,1000,,13070745.086,,0.512
capc.txt,100,1000,,11718205.391,,0.57
