Ficheiro,Num. Instalacoes,Num. Clientes,S.Otima,S.Obtida,%,TC
Kcapmo1.txt,100,100,,1160.229,,1.027
Kcapmo2.txt,100,100,,1227.667,,0.075
Kcapmo3.txt,100,100,,1286.369,,0.047
Kcapmo4.txt,100,100,,1198.678,,0.076
Kcapmo5.txt,100,100,,1157.082,,0.103
Kcapmp1.txt,200,200,,2460.101,,1.269
Kcapmp2.txt,200,200,,2442.656,,1.315
Kcapmp3.txt,200,200,,2526.639,,0.628
Kcapmp4.txt,200,200,,2661.987,,1.593
Kcapmp5.txt,200,200,,2290.164,,2.892
Kcapmq1.txt,300,300,,3591.273,,12.266
Kcapmq2.txt,300,300,,3564.405,,5.139
Kcapmq3.txt,300,300,,3512.448,,7.433
Kcapmq4.txt,300,300,,3742.474,,25.036
Kcapmq5.txt,300,300,,3765.64,,15.906
Kcapmr1.txt,500,500,,2349.856,,100.421
Kcapmr2.txt,500,500,,2344.757,,80.429
Kcapmr3.txt,500,500,,2195.486,,78.954
Kcapmr4.txt,500,500,,2433.11,,96.081
Kcapmr5.txt,500,500,,2344.353,,56.649
cap101.txt,25,50,,797508.725,,0.005
cap102.txt,25,50,,855466.85,,0.002
cap103.txt,25,50,,894008.137,,0.004
cap104.txt,25,50,,928941.75,,0.003
cap131.txt,50,50,,793439.563,,0.03
cap132.txt,50,50,,852257.975,,0.015
cap133.txt,50,50,,893076.713,,0.01
cap134.txt,50,50,,928941.75,,0.01
cap71.txt,16,50,,932615.75,,0.001
cap72.txt,16,50,,977799.4,,0.001
cap73.txt,16,50,,1012476.975,,0.001
cap74.txt,16,50,,1034976.975,,0.001
capa.txt,100,1000,,17781125.301,,1.071
capb.txt,100,1000,,13081049.249,,1.479
capc.txt,100,1000,,11505594.329,,1.82
