Ficheiro,Num. Instalacoes,Num. Clientes,S.Otima,S.Obtida,%,TC
Kcapmo1.txt,100,100,,1556.997,,1.742
Kcapmo2.txt,100,100,,1746.635,,0.071
Kcapmo3.txt,100,100,,1669.543,,0.069
Kcapmo4.txt,100,100,,1609.027,,0.072
Kcapmo5.txt,100,100,,1527.96,,0.074
Kcapmp1.txt,200,200,,3382.471,,0.763
Kcapmp2.txt,200,200,,3270.906,,0.736
Kcapmp3.txt,200,200,,3175.683,,0.715
Kcapmp4.txt,200,200,,3359.466,,0.719
Kcapmp5.txt,200,200,,3062.346,,0.737
Kcapmq1.txt,300,300,,4832.17,,3.014
Kcapmq2.txt,300,300,,4723.5,,3.04
Kcapmq3.txt,300,300,,4911.787,,3.103
Kcapmq4.txt,300,300,,5161.44,,3.429
Kcapmq5.txt,300,300,,5086.521,,3.031
Kcapmr1.txt,500,500,,3763.061,,19.506
Kcapmr2.txt,500,500,,3787.648,,22.065
Kcapmr3.txt,500,500,,3724.08,,26.627
Kcapmr4.txt,500,500,,3788.229,,19.552
Kcapmr5.txt,500,500,,3784.452,,21.047
cap101.txt,25,50,,811014.3,,0.004
cap102.txt,25,50,,860461.738,,0.013
cap103.txt,25,50,,914381.95,,0.006
cap104.txt,25,50,,967069.475,,0.005
cap131.txt,50,50,,815432.4,,0.011
cap132.txt,50,50,,877377.288,,0.014
cap133.txt,50,50,,918624.112,,0.013
cap134.txt,50,50,,967069.475,,0.014
cap71.txt,16,50,,953309.812,,0.002
cap72.txt,16,50,,990695.163,,0.004
cap73.txt,16,50,,1013856.45,,0.005
cap74.txt,16,50,,1049206.625,,0.002
capa.txt,100,1000,,35083092.989,,1.266
capb.txt,100,1000,,18446232.484,,1.202
capc.txt,100,1000,,15676531.888,,1.3
